NodeGrant Stopwatch,2020-04-23 13:05:26.557392 -0400 EDT m=+0.000750156
0,Start,NodeNextGrant,507
0,End,NodeNextGrant,10177050
1,Start,NodeNextGrant,31772789
1,End,NodeNextGrant,41896795
2,Start,NodeNextGrant,63240654
2,End,NodeNextGrant,73634353
3,Start,NodeNextGrant,94993140
3,End,NodeNextGrant,105372331
4,Start,NodeNextGrant,127990420
4,End,NodeNextGrant,138290262
5,Start,NodeNextGrant,159784464
5,End,NodeNextGrant,170230150
6,Start,NodeNextGrant,191770132
6,End,NodeNextGrant,202200984
7,Start,NodeNextGrant,224041163
7,End,NodeNextGrant,234668466
8,Start,NodeNextGrant,256246436
8,End,NodeNextGrant,266693406
9,Start,NodeNextGrant,288427815
9,End,NodeNextGrant,299542782
10,Start,NodeNextGrant,321962126
10,End,NodeNextGrant,332865328
11,Start,NodeNextGrant,355137750
11,End,NodeNextGrant,365500009
12,Start,NodeNextGrant,387806851
12,End,NodeNextGrant,398004314
13,Start,NodeNextGrant,420543319
13,End,NodeNextGrant,430924975
14,Start,NodeNextGrant,453474746
14,End,NodeNextGrant,463837475
15,Start,NodeNextGrant,486554305
15,End,NodeNextGrant,497501249
16,Start,NodeNextGrant,520679208
16,End,NodeNextGrant,530914154
17,Start,NodeNextGrant,554112005
17,End,NodeNextGrant,564442273
18,Start,NodeNextGrant,586731672
18,End,NodeNextGrant,597055773
19,Start,NodeNextGrant,618933676
19,End,NodeNextGrant,629300396
20,Start,NodeNextGrant,650787824
20,End,NodeNextGrant,661338479
21,Start,NodeNextGrant,688882672
21,End,NodeNextGrant,700092817
22,Start,NodeNextGrant,723236734
22,End,NodeNextGrant,734189598
23,Start,NodeNextGrant,755535929
23,End,NodeNextGrant,765939085
24,Start,NodeNextGrant,788283835
24,End,NodeNextGrant,798646883
25,Start,NodeNextGrant,820098841
25,End,NodeNextGrant,831078553
26,Start,NodeNextGrant,852615769
26,End,NodeNextGrant,863170765
27,Start,NodeNextGrant,885694382
27,End,NodeNextGrant,896884817
28,Start,NodeNextGrant,919751585
28,End,NodeNextGrant,930738815
29,Start,NodeNextGrant,953094778
29,End,NodeNextGrant,963870430
30,Start,NodeNextGrant,984825779
30,End,NodeNextGrant,994975229
31,Start,NodeNextGrant,1015616407
31,End,NodeNextGrant,1026705112
32,Start,NodeNextGrant,1048358745
32,End,NodeNextGrant,1058882708
33,Start,NodeNextGrant,1081255725
33,End,NodeNextGrant,1092087911
34,Start,NodeNextGrant,1113808777
34,End,NodeNextGrant,1124791458
35,Start,NodeNextGrant,1147071720
35,End,NodeNextGrant,1158219934
36,Start,NodeNextGrant,1180282428
36,End,NodeNextGrant,1191449591
